,W,K,Scale,Min_effect,Max_effect,P_comp,D_comp,Deviation
3,0.04100221620311152,18778.11666991775,7711.304226045335,0.00032180679468417177,0.2898154463643699,1.0,0.3668748010381502,4417.320341634327
4,0.03889057076232393,28038.421214676688,21550.529116659323,3.984981603459416,0.01462740116793085,1.0,0.36344236035707855,4752.9606205272585
5,0.0411950929275231,14753.49706303311,11568.881949631252,1.7076582215660276,0.0026822285009428124,1.0,0.6702109399551015,4906.202934534583
6,0.043776386974937166,12628.033092148027,22.271715955537356,0.00010872403468504878,0.12106265347939385,1.0,0.10242647112804837,5041.583769939743
7,0.04334176179249653,12930.308385131,276345.7427020109,0.126061605080906,0.0007083804653691808,1.0,2.456653396801838,5018.027014210938
8,0.0435115120446504,12556.949165863682,5.604328491531328,0.30626735871828964,0.12373843424276038,1.0,4.796648534375891,5034.2528043326865
9,0.03651789484795611,4977045.4615263725,4.80763371821942,0.000300466856924552,4.662826114438233,1.0,0.3676704090311103,4737.167057056695
10,0.04354820932708458,12622.432474330024,31083.47898386905,0.12857703232339635,0.0007304032290676543,1.0,3.1492733850124717,5039.8736224268705
11,0.03815385017001016,37176.05139344509,30205.832938687487,2.6605416461357896,0.0007762732062135254,1.0,0.5425694973610892,4736.858750975166
12,0.046104582465717685,10689.592762292745,2413.5242746000426,0.00045199916946891326,0.21658165549352015,1.0,1.4738163216554645,4543.358052515672
13,0.0449257961173284,11472.343663607093,3014.7903689354125,0.0001744768954920522,0.16873562443287554,1.0,0.7083967077833272,4559.540595976186
14,0.03980287614655693,21336.86701246871,1.6614611833826816,0.03335337067598446,0.2684052715290693,1.0,0.5166113991929124,4796.9644606640795
15,0.038945807827995615,26677.46966452853,66.59009531389506,0.005033719562837363,1.9844285720880843,1.0,0.2503506138530063,4755.224137804435
16,0.036400695544957125,3782693.5881260876,69337.60869272599,8.03468214585564,0.0143367595001778,1.0,0.026302375964282188,4740.268150200885
