,W,K,empty_0,Max_effect,P_comp,D_comp,Deviation
65,0.043561290318040256,12555.205268307562,0.0,0.12875152527430647,1.0,0.4106771496109347,5025.7260938631325
66,0.041195909537138406,16372.720885119996,0.0,0.2096414067570496,1.0,0.7017569727612359,4860.880579770785
67,0.03650462674364023,7707959.896619078,0.0,5.146550412513113,1.0,1.6270891414227369,4737.204599679798
68,0.039290271260180296,22688.079346240127,0.0,1.4718939992098068,1.0,2.2849649695055456,4775.159351298181
69,0.036487321531619904,4397630.205250019,0.0,3.5595371002706773,1.0,0.0927403307057747,4737.474000825392
70,0.04325129632896591,13030.1253834146,0.0,0.12411185910899385,1.0,1.3788469530099314,5016.08745226664
71,0.03837749377702992,33971.08009742754,0.0,1.5866365004518197,1.0,1.5864763344349624,4740.286477399709
72,0.0364974684770886,3769039.993748489,0.0,2.4422002386031605,1.0,1.0200485709295384,4737.636367798759
73,0.042751690150892384,13690.323863361316,0.0,0.1308847224520669,1.0,0.04552227577657962,4982.629697101347
74,0.04379532577062771,12568.779109658526,0.0,0.12159250275908827,1.0,0.016287132847925045,5042.484468195945
75,0.04165257410704446,15513.076552505489,0.0,0.1626707242252021,1.0,0.011099381728064926,4900.553282193431
76,0.043391950698620826,12727.714038707778,0.0,0.12523652953161987,1.0,0.6221684626345132,5024.319968731133
77,0.04410155224731231,12285.768463158363,0.0,0.11424151272714808,1.0,2.0872750490857404,5072.561984821044
78,0.04267047002967853,14075.093055346284,0.0,0.1329843956357453,1.0,0.01260393023966048,4968.826124914859
79,0.04340341003306309,12688.061537570877,0.0,0.1247410698144374,1.0,0.01852631543130236,5026.889182637404
80,0.03657078935065799,3237038.52362537,0.0,1.179719134597836,1.0,0.018822619337304853,4739.509274451541
81,0.04327277706632191,12930.304070013279,0.0,0.12630635344215205,1.0,0.011418099561076752,5014.761731196349
82,0.043529956147382386,12654.682964741265,0.0,0.12101366979934056,1.0,0.030444083496960418,5036.461214580066
83,0.04376265015919415,12469.756775841963,0.0,0.1210649450378564,1.0,0.16535220386046542,5044.922476914294
84,0.03914767777549987,25267.97193976515,0.0,1.497437831265357,1.0,0.18259354310469084,4761.609740094672
85,0.036526370789824084,3528965.6511985767,0.0,1.5012142329389675,1.0,0.08927837565662315,4738.335878953506
86,0.04308863061785978,13267.537010956192,0.0,0.12503349499454425,1.0,0.011954597914900458,5006.608083860852
87,0.04343088476977619,12813.157978240017,0.0,0.12548901198500742,1.0,0.038758732150664686,5021.147506624723
88,0.03658746459422037,2872123.659501146,0.0,3.0217851580590422,1.0,0.4511835611601505,4738.443351095594
89,0.043762132181064985,12521.504037621766,0.0,0.11681810808877555,1.0,0.3430754897368398,5052.838514246018
90,42.35203785004963,2319.2994139907887,0.0,0.02442845245300463,1.0,1.7442811260643338,11651.807415966956
91,0.04363912292483437,12743.733224862715,0.0,0.12251762696343466,1.0,0.05644919323980816,5032.543830975833
92,0.04476066385032621,11457.533284793077,0.0,0.10677742226120517,1.0,0.3605854079435418,5134.096407524729
93,0.04474179744699625,11538.21335961795,0.0,0.10575603649569128,1.0,0.01039993466256617,5133.80048084216
94,0.007873457313126617,4493.817109946644,0.0,0.00012317476498014234,1.0,0.336732808278205,16008.256286496962
95,0.043876004368194,12124.008839246928,0.0,0.1206654515879091,1.0,0.011870226561712341,5059.56281503327
96,0.0392319800714705,23361.37339691689,0.0,2.804426865480776,1.0,2.8089612928005803,4770.0302825164645
97,0.04426664647540348,11967.581187386057,0.0,0.1169486002781777,1.0,0.011345790943229987,5079.989514231872
98,0.044011147127273824,12086.274098625589,0.0,0.11647042580020706,1.0,0.4069253585676572,5071.607729996425
99,0.04312731562660837,13153.53424881361,0.0,0.12509621765323825,1.0,0.10166695184831473,5010.07574423451
100,0.04432441979465358,11940.769092407194,0.0,0.1156857038500255,1.0,0.0391539944579044,5084.962931063213
101,0.04362806241268604,12819.249274166026,0.0,0.12273642493734313,1.0,0.4545971121825251,5030.438999668031
102,2.4673198035371966,4749.557386731056,0.0,0.020080796704463232,1.0,0.0575407335101409,11599.807585661863
103,0.04372709969528132,12447.629342576502,0.0,0.1177055327963373,1.0,2.18306034114622,5052.789628424937
104,0.043537377258039016,12724.667019588249,0.0,0.12197073537215487,1.0,2.649481200085631,5032.041367076065
105,0.043398925506611764,12804.105512454347,0.0,0.12167818043567938,1.0,0.13207378360728056,5029.470574438261
106,0.04342297875511009,13027.78579271445,0.0,0.12464245677192592,1.0,0.08595257604484012,5017.281182105402
107,0.03762127885177327,58867.57071851506,0.0,0.9744357462037856,1.0,3.093987423971844,4733.645266241696
108,0.044052239020511134,12074.006826786184,0.0,0.11639501479045428,1.0,0.5523948200164304,5072.716483940188
109,0.04396922545566759,12288.756153031274,0.0,0.1190320305047261,1.0,0.03696659961082429,5058.660619292294
110,0.04369815804219596,12486.985433458502,0.0,0.11914797682390167,1.0,0.035628215337802575,5047.634926217175
111,0.04290254693758773,13430.578991317852,0.0,0.13075161737785654,1.0,1.213116472653607,4990.029292122558
112,0.0444285297531599,11884.759729003415,0.0,0.11100383971807852,1.0,0.022379854757928187,5099.905954631346
113,0.04334573249715325,12893.277336725674,0.0,0.12176370064123335,1.0,0.023707697064857768,5026.1956430592045
114,23.855647607380995,2325.741107216991,0.0,0.021607975967766604,1.0,0.3050906299541345,11618.857826692589
115,0.00951974125372834,2276.1344243582603,0.0,0.00011464889602568016,1.0,0.9702919196745587,16011.742926371277
116,0.043771665268194,12454.310665868165,0.0,0.11703420791563425,1.0,0.023649227152008283,5054.55304946963
117,0.03646916733839568,5833960.714542443,0.0,3.0862733181108144,1.0,0.03642836672224042,4737.937476126481
118,0.03646207736904568,1727267.4331292692,0.0,2.276505921482754,1.0,0.1756592723221807,4738.987490450323
119,0.04334632797156312,13261.72757896128,0.0,0.12547434258525147,1.0,0.011711644711173278,5009.906884494633
120,0.042803445136457,13803.624015236506,0.0,0.14267845621595235,1.0,0.010437552001119831,4963.708039914587
121,0.036534471610503085,1467395.1580428581,0.0,1.5643667758322162,1.0,1.6692418559012547,4737.932870672807
122,0.0425273570374556,14021.907995085156,0.0,0.13663821176898494,1.0,0.8439608816153871,4963.667558597551
123,0.042732832343717705,13655.012197535862,0.0,0.1321317019941204,1.0,0.2348784804415178,4981.4408327059145
124,0.04360919647521952,12469.973436762004,0.0,0.1238580572427742,1.0,0.3266160661023521,5037.490539546386
125,0.04323088244330226,13406.915988393595,0.0,0.12596039976970466,1.0,2.207869555641942,5003.441092830821
126,0.04409553183423455,12383.884554499658,0.0,0.1140637612138778,1.0,0.04230494117257776,5070.935144499895
127,0.0423311895741589,14588.552873384593,0.0,0.14376219319712766,1.0,0.30315795626105785,4939.836997633386
128,0.04393593182496605,12466.368004081622,0.0,0.11750741827751468,1.0,0.21353340194323986,5056.604428934027
129,0.04303811811379315,13301.060241092639,0.0,0.12707693426683964,1.0,0.015142610189390357,5001.135557705028
130,0.03645498553654565,1443758.771417139,0.0,1.6753267121596431,1.0,0.17825131378165976,4740.274186913867
131,0.03660257328569004,3098497.4630849115,0.0,6.892426313061788,1.0,0.022751742378109584,4739.016566673941
132,0.042501447057947936,14210.625152817434,0.0,0.1384448073617276,1.0,0.04643835243545885,4955.899251916418
133,0.005526114484430733,7164.364471637146,0.0,0.00012215033309382175,1.0,1.9786897064159232,16020.38211648696
134,0.0431356848682925,13477.418765104534,0.0,0.13111664783519175,1.0,0.4688455601301042,4991.665759472523
135,17.636921139156485,2353.016427039127,0.0,0.02220215230944664,1.0,0.4878626819170781,11583.10246411468
136,0.0436786851707315,12627.794483458181,0.0,0.12222501255407422,1.0,2.8975121744274936,5036.700286116688
137,0.04322365720621933,13067.58070866857,0.0,0.1240794859095515,1.0,2.0228445984501597,5014.951318068748
138,0.043133009475152966,13058.973080748032,0.0,0.12928075997930707,1.0,0.5661077898304036,5004.548693645612
139,0.04298913269177402,13304.386033772387,0.0,0.12718484121607332,1.0,1.1219809359437702,5001.161207288155
140,0.00601367559555444,2779.976360628133,0.0,0.00021203031094125727,1.0,0.21986341873818374,16021.947715286358
141,0.04413724564466128,12122.428629435824,0.0,0.11537553636160446,1.0,2.7309983980622867,5075.075921094107
142,0.043691341102244485,12474.74612861651,0.0,0.1293741714150541,1.0,0.36902654458661904,5030.439370187252
143,0.04341523515782518,12821.419463422952,0.0,0.1250277071660438,1.0,0.9696019003248879,5021.598621789235
144,0.04344496178907125,12783.945074869182,0.0,0.12094867103188775,1.0,0.4852924837624159,5031.921666208559
145,0.04313580158220919,13179.51344334964,0.0,0.12799743743683847,1.0,0.23942706119967225,5003.030650437618
146,0.008057417978644076,2094.4958845917145,0.0,0.00014544829985597488,1.0,1.6443064613045233,16014.167047738822
147,0.03660845400993409,3634714.631716482,0.0,2.2259837993032154,1.0,0.2528061916020115,4739.82293276847
148,0.04364210182683615,12727.210434017894,0.0,0.1263612068309724,1.0,0.3071718513851381,5027.109796102368
149,0.03654405392186138,29825572.935204603,0.0,2.9653199843784908,1.0,0.02497727515022018,4737.974527963982
150,0.036491659848147694,24635145.84659707,0.0,2.963532506966094,1.0,1.6812766110387314,4737.582375623209
151,0.044456456566730515,11981.273571751954,0.0,0.10938761731260846,1.0,0.09740423421355199,5102.612008363164
152,0.04354069837514672,12729.89346198297,0.0,0.1190148229807701,1.0,0.12097853398361125,5038.815195880548
153,0.010576558505279623,6948.136216508729,0.0,0.0001210618727464257,1.0,0.014398229113056002,16013.490059796653
154,0.04396069967542171,12344.463388563714,0.0,0.11774546502215953,1.0,0.031321901955363364,5059.534684573622
155,0.04372403851029767,12745.996302045904,0.0,0.11880583024128175,1.0,0.03195179691084751,5042.0810692001005
156,0.03653889561790901,10168461.214641444,0.0,4.566940823572253,1.0,0.5672134229288435,4737.556729209994
157,0.04390989296032781,12434.041647604628,0.0,0.11519960910359428,1.0,0.02363291736145357,5061.802111825805
158,0.04355123334748127,13003.087748818829,0.0,0.1209189857447678,1.0,0.9052090871220966,5028.313501837289
159,0.04367627494122607,12383.726939304392,0.0,0.12219666543588853,1.0,1.9455954502672383,5044.569439104916
160,0.043650045110634327,12409.015560465596,0.0,0.12002843514755368,1.0,1.8543368034211176,5048.4595722108725
161,50.28559385879207,2324.069672397858,0.0,0.024300847190973543,1.0,0.20339487341259124,11654.511767128286
162,0.04344506841635077,12690.450558740351,0.0,0.12212562761793792,1.0,1.985132856724272,5032.553725790405
163,0.04394817700709105,12055.808802198542,0.0,0.11830867010334925,1.0,1.4935361953839623,5068.123424713383
164,0.043911913892845135,12239.359326862445,0.0,0.1170529345301932,1.0,0.2820142992644042,5063.389127926114
165,0.04479815678836723,11592.64519063146,0.0,0.10346727623422047,1.0,1.3444782183347117,5140.973095925566
166,0.0443539585296872,11988.220471090708,0.0,0.11216961118787996,1.0,1.951872027734904,5092.127599874134
167,0.04477723054010714,11515.677432948894,0.0,0.10787162563098954,1.0,2.0642980271551656,5129.267539174644
168,57.01363630106309,2330.456789599281,0.0,0.02315325656122717,1.0,0.6130545695917092,11650.061315992472
169,0.04293411882691246,13567.901279602158,0.0,0.13604386698947826,1.0,1.6828699603462833,4978.180940194223
170,0.03790762305978102,45338.262135135876,0.0,4.515868269461327,1.0,0.2685954525974809,4732.937333323623
171,0.03654317179199591,1401981.6161482392,0.0,1.4082403817869926,1.0,0.2144019604345221,4738.16583716926
172,0.04273525662923026,13590.47056153074,0.0,0.1343221263868126,1.0,0.011934821602485915,4979.370027199145
173,0.043884869453112686,12166.353050924236,0.0,0.1180201829049886,1.0,0.08802313318393952,5063.759612917986
174,0.04276970839033814,13911.165952329475,0.0,0.13328344468057965,1.0,1.899361383214293,4972.646074744437
175,0.043608758623660863,12533.958002087642,0.0,0.12085048731411828,1.0,0.03255167640593065,5041.483371196061
176,0.03653884885771401,5434106.042758163,0.0,1.9869500800563031,1.0,0.012032694984521466,4737.962918532811
177,0.0440810344489103,12060.997432731812,0.0,0.11531691330618594,1.0,1.1990356960596955,5076.168018166827
178,0.044240530150683466,12086.61994479426,0.0,0.11092628252859273,1.0,1.5088667942854743,5089.630278405855
179,0.04332709513789169,13054.571933288264,0.0,0.12332279042558195,1.0,0.4973384198103341,5017.477867372999
180,0.043544396366508094,12792.232653414248,0.0,0.1229622283326219,1.0,0.2281153524153208,5028.306719379608
